,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
933,19,24,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
934,19,27,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
935,19,28,17,0,1,14,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
936,19,29,325,0,48,156,163,165,212,213,213,215,215,215,215,284,284,325,325,325,325,325,325,325
937,19,30,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
938,19,32,281,0,1,3,40,40,183,184,184,184,184,184,184,188,192,281,281,281,281,281,281,281
939,19,33,88,0,0,1,4,5,5,7,8,11,11,11,11,44,51,87,88,88,88,88,88,88
940,19,34,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
941,19,35,183,0,0,75,87,87,115,118,118,141,141,141,141,165,165,183,183,183,183,183,183,183
942,19,36,471,0,2,86,125,240,310,314,315,421,421,421,421,456,456,471,471,471,471,471,471,471
943,19,37,22,0,10,17,18,18,18,18,18,19,19,19,19,22,22,22,22,22,22,22,22,22
944,19,38,86,0,9,9,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
945,19,40,45,0,3,3,28,29,30,30,30,45,45,45,45,45,45,45,45,45,45,45,45,45
946,19,42,6,0,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
947,19,43,27,0,0,0,2,2,2,2,2,2,2,2,2,2,2,27,27,27,27,27,27,27
948,19,44,454,0,9,28,65,170,283,285,285,287,288,288,288,395,410,454,454,454,454,454,454,454
949,19,45,4,0,0,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4
950,19,46,187,0,2,16,45,46,104,105,105,150,150,150,150,154,154,185,187,187,187,187,187,187
951,19,47,69,0,1,39,63,64,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
952,19,48,31,0,2,2,8,8,10,10,10,29,29,29,29,31,31,31,31,31,31,31,31,31
953,19,49,837,0,5,5,13,13,13,13,14,17,17,17,19,447,493,837,837,837,837,837,837,837
954,19,51,4,0,0,0,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
955,19,54,67,0,25,44,45,50,57,57,57,57,57,57,57,61,61,67,67,67,67,67,67,67
956,19,55,3,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
957,19,56,35,0,0,0,0,0,0,0,0,14,14,14,14,15,15,35,35,35,35,35,35,35
958,19,59,10,0,0,3,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10
959,19,60,49,0,0,1,2,2,2,2,2,42,43,43,43,44,44,49,49,49,49,49,49,49
960,19,61,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
961,19,62,206,0,13,143,164,177,183,187,187,194,194,194,194,194,194,206,206,206,206,206,206,206
962,19,63,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
963,19,64,19,0,5,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
964,19,65,4,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
