pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
26,3.0-2.0,0.1754,0.6667,0.6096,0.5614,0.4254,0.3816,0.5132,0.1579,0.6579,0.5746,0.6096,0.5263,0.6754,0.4912,0.6974,0.6754,0.5746,0.4254,0.2325,0.1360,9.7675
27,3.0-3.0,0.2778,0.4861,0.7222,0.5694,0.5694,0.4861,0.7917,0.1667,1.0972,0.5833,0.6806,0.5833,0.6667,0.4583,0.8472,0.6389,0.4861,0.4861,0.2917,0.1806,11.0694
28,3.0-4.0,0.0972,0.5139,0.5139,0.5556,0.2361,0.2639,0.4722,0.1944,0.5972,0.5278,0.4722,0.5139,0.5833,0.7083,0.9444,0.6667,0.6389,0.5417,0.3194,0.2917,9.6528
29,3.0-5.0,0.2083,0.9583,0.9583,0.8750,0.5000,0.6250,0.7500,0.1250,0.5833,0.2083,0.5000,0.5000,0.7500,0.8750,1.3333,1.1250,1.2083,1.0000,0.3750,0.4167,13.8750
30,3.0-6.0,0.2500,0.4167,0.7500,0.8333,0.3333,0.2778,0.4167,0.1111,0.6667,0.5833,0.7778,0.7778,1.1111,0.6389,1.0000,0.8889,0.7500,0.8056,0.2778,0.1111,11.7778
31,3.0-7.0,0.4167,0.3333,0.5833,0.7500,0.9167,0.0000,0.4167,0.3333,0.6667,0.1667,0.8333,0.8333,0.5833,0.5000,0.5000,0.9167,1.0833,0.7500,0.6667,0.5000,11.7500
32,4.0-0.0,0.0778,0.3889,0.4333,0.5222,0.2222,0.2333,0.2667,0.0889,0.2667,0.3333,0.3222,0.2889,0.3889,0.4222,0.5000,0.5667,0.4556,0.3111,0.1444,0.1000,6.3333
33,4.0-1.0,0.0500,0.4917,0.3417,0.5167,0.1750,0.2500,0.2833,0.1000,0.4167,0.3500,0.4583,0.5333,0.6917,0.7167,0.8167,0.8667,0.7417,0.6333,0.2250,0.1667,8.8250
34,4.0-2.0,0.0351,0.5965,0.4211,0.5789,0.2456,0.3509,0.3860,0.1228,0.4211,0.5175,0.5175,0.4649,0.6667,0.6842,0.8509,0.8596,0.7105,0.5789,0.2368,0.2368,9.4825
35,4.0-3.0,0.0972,0.5139,0.5139,0.5556,0.2361,0.2639,0.4722,0.1944,0.5972,0.5278,0.4722,0.5139,0.5833,0.7083,0.9444,0.6667,0.6389,0.5417,0.3194,0.2917,9.6528
