pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
56,TYPEf-TYPEb,0.0921,0.3520,0.3059,0.3553,0.1711,0.2072,0.2500,0.0592,0.3158,0.3849,0.4178,0.3092,0.5428,0.4276,0.5757,0.5033,0.5033,0.4671,0.0888,0.0559,6.3849
57,TYPEf-TYPEc,0.0250,0.4500,0.3875,0.4375,0.3625,0.3500,0.3375,0.2250,0.4000,0.4000,0.5875,0.6375,0.7500,0.5750,0.8750,0.7125,0.7250,0.7000,0.3750,0.1125,9.4250
58,TYPEf-TYPEd,0.0781,0.5625,0.4219,0.6250,0.2500,0.2969,0.3906,0.0938,0.4219,0.5781,0.6875,0.6250,0.9062,0.8594,0.9375,0.7812,0.7656,0.5156,0.0000,0.2188,10.0156
59,TYPEf-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,TYPEf-TYPEf,0.1484,0.4219,0.3672,0.4531,0.2734,0.2578,0.4141,0.0703,0.3594,0.3750,0.4688,0.4688,0.7656,0.6484,0.8594,0.6562,0.7422,0.6797,0.1172,0.0312,8.5781
61,TYPEf-TYPEg,0.2375,0.7000,0.5125,0.5250,0.2625,0.2750,0.3250,0.2000,0.6500,0.7125,0.9125,0.8875,1.0750,1.1750,1.2250,1.1375,1.2000,1.1250,0.4375,0.0625,13.6375
62,TYPEf-TYPEh,0.0750,0.3125,0.1875,0.3250,0.1875,0.0750,0.1625,0.0000,0.4625,0.2000,0.4625,0.4375,0.5625,0.3250,0.3375,0.5250,0.5625,0.5875,0.0750,0.0625,5.9250
63,TYPEf-TYPEi,0.1250,0.4688,0.4375,0.6875,0.2812,0.1250,0.1562,0.0312,0.1562,0.2812,0.4062,0.5000,0.2812,0.4062,0.6562,0.9688,0.6562,0.5938,0.2812,0.1562,7.6562
64,TYPEf-TYPEj,0.1094,0.5469,0.6250,0.8906,0.6406,0.3125,0.5469,0.1250,0.6562,0.3594,0.4688,0.6094,1.1250,0.9062,1.1094,1.0312,0.8594,0.8750,0.2812,0.1406,12.2188
65,TYPEf-TYPEk,0.3281,0.7656,0.4766,0.4688,0.3438,0.3047,0.4297,0.0625,0.4531,0.4062,0.5234,0.5234,0.9062,0.5469,0.5625,0.5234,0.4844,0.3672,0.0859,0.0312,8.5938
