"idx","source","target","X2008.01.01","X2008.01.15","X2008.01.29","X2008.02.12","X2008.02.26","X2008.03.11","X2008.03.25","X2008.04.08","X2008.04.22","X2008.05.06","X2008.05.20","X2008.06.03","X2008.06.17","X2008.07.01","X2008.07.15","X2008.07.29","X2008.08.12","X2008.08.26","X2008.09.09","X2008.09.23","X2008.10.07","X2008.10.21","X2008.11.04","X2008.11.18","X2008.12.02","X2008.12.16","X2008.12.30","X2009.01.13","X2009.01.27","X2009.02.10","X2009.02.24","X2009.03.10","X2009.03.24","X2009.04.07","X2009.04.21","X2009.05.05","X2009.05.19","X2009.06.02","X2009.06.16","total_freq"
141,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,9,10,13,13,13,13,13,13,13,13,13,13,13,13,24
142,76,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,12,12,12,12,12,12,12,12,12,18
143,71,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,70,102,136,146,184,240,264,274,298,312,322,336,372,384,400,408,612
144,62,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,8,8,12,18,18,18,18,18,18,18,18,18,18,18,27
145,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,14,14,14,14,14,14,17,17,17,17,17,17,23,23,23,23,31
146,54,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18
147,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,6,8,8,8,8,10,10,10,10,10,10,10,10,18
148,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3
149,36,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,12,12,12,12,12,12,14,14,14,14,14,14,14,14,21
150,58,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30
151,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
