,dyn_senti_score,rating
0,5.6483870967741945,2
1,5.487450980392157,4
2,5.128771929824562,1
3,5.546571428571429,3
4,5.871428571428571,3
5,5.5840000000000005,2
6,5.126410256410255,2
7,5.318235294117646,2
8,5.557142857142856,4
9,5.685945945945942,4
10,5.252857142857142,3
11,5.869259259259257,3
12,5.544324324324325,2
13,5.825217391304348,1
14,5.4604,1
15,5.389722222222222,4
16,5.2730434782608695,2
17,5.482083333333333,4
18,5.6361194029850745,3
19,6.033846153846151,1
20,5.403,1
21,5.0905263157894725,1
22,5.706603773584902,4
23,5.512121212121213,1
24,5.320298507462689,3
25,5.347017543859646,4
26,5.852599999999999,4
27,5.580085470085472,3
28,5.2942156862745104,2
29,5.39157894736842,3
30,5.575833333333333,1
31,5.4270588235294115,3
32,5.105769230769232,1
33,5.387631578947368,3
34,5.353260869565219,3
35,5.515833333333335,2
36,5.5483582089552215,1
37,5.57032258064516,1
38,5.461014492753622,1
39,5.3725000000000005,1
40,5.334999999999998,1
41,5.57225806451613,1
42,5.491842105263158,4
43,5.8304385964912315,1
44,5.679499999999997,4
45,5.78862068965517,2
46,5.5284999999999975,1
47,5.654193548387097,1
48,5.732727272727272,1
49,5.429655172413791,2
50,5.486470588235292,1
51,5.769152542372881,4
52,5.421607142857144,1
53,4.832380952380952,1
54,5.0805,1
55,5.834999999999999,4
56,5.713520000000001,4
57,5.471111111111113,2
58,5.2835135135135145,4
59,5.293000000000001,4
60,5.433913043478261,3
61,5.561304347826086,1
62,5.8649999999999975,1
63,5.255249999999998,1
64,5.5976470588235285,2
65,5.732244897959182,1
66,4.974827586206897,2
67,5.249999999999999,3
68,5.46470588235294,4
69,5.538620689655173,4
70,5.475714285714285,1
71,5.861999999999997,2
72,5.464202898550725,1
73,5.831818181818183,1
74,5.668540145985402,4
75,5.333846153846154,3
76,6.0326666666666675,3
77,4.969999999999998,3
78,5.431612903225807,3
79,5.5592105263157885,2
80,5.28,1
81,5.908333333333334,3
82,6.028888888888887,3
83,5.38406779661017,3
84,5.519574468085108,3
85,5.683333333333333,3
86,5.641739130434782,3
87,5.8275,1
88,5.655757575757575,4
89,5.9104347826086965,1
90,5.7780000000000005,1
91,5.535641025641023,1
92,6.2107317073170725,2
93,5.922702702702702,3
94,5.783235294117647,2
95,5.847692307692308,1
96,5.854722222222222,1
97,5.550588235294119,1
98,5.23,1
99,5.461111111111113,2
100,6.008461538461537,3
101,5.6825,1
102,5.6356363636363636,4
103,5.745,1
104,5.5285294117647075,4
105,5.323454545454544,3
106,5.395384615384615,1
107,5.358139534883722,2
108,5.425,1
109,5.408518518518518,4
110,5.112307692307692,3
111,5.695581395348836,4
112,5.4754545454545465,3
113,5.683333333333334,4
114,5.885999999999994,2
115,5.00057142857143,1
116,5.368378378378378,1
117,5.707674418604647,3
118,5.783191489361701,1
119,5.200000000000001,2
120,5.61086956521739,1
121,5.346666666666667,1
122,5.1868181818181816,1
123,5.541176470588233,1
124,5.550307692307691,1
125,5.489803921568629,1
126,5.248604651162792,1
127,5.3892592592592585,2
128,5.2369565217391285,1
129,5.22962962962963,1
130,5.036315789473684,1
131,5.600399999999999,1
132,5.990000000000001,1
133,5.138400000000002,4
134,5.408169014084507,1
135,5.491199999999999,1
136,5.713714285714286,2
137,5.9097959183673465,4
138,6.108989898989898,3
139,5.825000000000001,4
140,5.467096774193551,4
141,5.657857142857144,2
142,5.806999999999998,1
143,5.863076923076923,2
144,5.466969696969699,1
145,5.802553191489363,2
146,5.487647058823531,3
147,5.402978723404254,3
148,5.328152866242039,4
149,5.186515151515152,4
150,5.1616326530612255,3
151,5.485538461538462,1
152,5.8508771929824555,2
153,5.081666666666668,2
154,5.959259259259259,1
155,5.573225806451613,1
156,5.270232558139536,1
157,5.605333333333332,1
158,5.756153846153848,3
159,5.741866666666668,3
160,5.504210526315791,1
161,5.6661764705882325,1
162,5.8400000000000025,1
163,5.2169387755102035,1
164,5.3116666666666665,1
165,5.613846153846153,1
166,5.4231481481481465,4
167,5.945,2
168,5.455624999999999,1
169,5.578999999999999,1
170,5.538913043478261,1
171,5.8312820512820505,2
172,5.457340425531914,1
173,5.0889655172413795,3
174,5.493272727272728,1
175,5.5127868852459,2
176,5.478437500000001,4
177,5.16764705882353,4
178,5.525,3
179,5.245833333333334,1
180,5.33828125,4
181,5.324036697247709,4
182,5.397096774193549,4
183,5.414166666666668,2
184,5.948732394366197,4
185,5.141612903225805,4
186,4.999714285714286,4
187,4.933333333333334,3
188,6.420000000000001,3
189,5.0960526315789485,1
190,5.245507246376809,1
191,5.223214285714286,1
192,6.0180000000000025,1
193,5.3375,1
194,6.07125,2
195,5.561333333333333,1
196,5.811034482758622,3
197,5.553488372093023,1
198,5.557469135802468,1
199,5.4570000000000025,1
200,5.540571428571428,1
201,5.728260869565219,2
202,5.690645161290322,3
203,5.482380952380956,1
204,5.5125641025641015,1
205,5.546923076923076,1
206,5.551724137931035,1
207,5.334857142857143,1
208,5.928571428571429,1
209,5.687857142857142,1
210,5.543931623931626,4
211,5.510714285714287,1
212,5.789818181818182,1
213,5.730588235294117,1
214,5.790714285714286,1
215,5.716666666666665,1
216,5.274516129032256,1
